n,Accuracy
1,0.922
2,0.927
3,0.927
4,0.928
5,0.927
6,0.927
7,0.923
8,0.921
9,0.918
10,0.917
11,0.918
12,0.917
13,0.918
14,0.916
15,0.911
16,0.910
17,0.908
18,0.909
19,0.907
20,0.906
21,0.906
22,0.904
23,0.903
24,0.902
25,0.902
26,0.902
27,0.901
28,0.901
29,0.901
30,0.901
31,0.900
32,0.900
33,0.900
34,0.900
35,0.900
36,0.899
37,0.899
38,0.899
39,0.899
40,0.899
41,0.899
42,0.898
43,0.898
44,0.898
45,0.898
46,0.897
47,0.897
48,0.896
49,0.896
50,0.896
51,0.896
52,0.896
53,0.895
54,0.895
55,0.895
56,0.895
57,0.895
58,0.894
59,0.894
60,0.894
61,0.894
62,0.894
63,0.894
64,0.894
65,0.894
66,0.894
67,0.894
68,0.894
69,0.894
70,0.894
71,0.894
72,0.894
73,0.894
74,0.894
75,0.894
76,0.894
77,0.894
78,0.894
79,0.894
80,0.894
81,0.894
82,0.894
83,0.894
84,0.894
85,0.894
86,0.894
87,0.894
88,0.894
89,0.894
90,0.894
91,0.894
92,0.894
93,0.894
94,0.894
95,0.894
96,0.894
97,0.894
98,0.894
99,0.894
100,0.894
